make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
13,213,2020,1600,65414,Blanco,Metropolitana de Santiago,9990000,1,0,0,4
64,776,2013,1600,205000,,VIII Biobío,5300000,0,0,,11
40,5922,2021,2000,32000,,Valparaíso,17750000,0,1,0,3
33,393,2016,2000,123800,,OHiggins,13490000,0,0,0,8
20,293,2019,5000,68000,,Maule,36000000,0,1,1,5
60,723,2020,,62000,Azul,Valparaíso,14590000,0,1,1,4
47,610,2019,1600,98000,,Metropolitana de Santiago,7500000,0,1,0,5
61,1487,2020,1400,89000,,Región Metropolitana,9200000,0,1,,4
11,176,2022,1500,46000,,Región Metropolitana,7990000,0,0,,2
10,5879,2023,,13100,,Maule,13090000,0,1,,1
20,291,2013,1600,110000,,Metropolitana de Santiago,5800000,0,0,0,11
40,474,2022,2000,39000,,Metropolitana de Santiago,21000000,0,1,0,2
20,293,2017,,73000,Plata,Metropolitana de Santiago,29100000,0,1,1,7
11,172,2005,,288000,,VIII Biobío,1500000,0,0,,19
13,201,2021,1500,33600,,Región Metropolitana,11990000,1,0,,3
11,158,2013,1400,124000,,Metropolitana de Santiago,3500000,0,0,0,11
47,1829,2021,1600,22461,,Región Metropolitana,12890000,0,0,,3
49,810,2018,,73000,,Metropolitana de Santiago,8890000,1,0,,6
10,1723,2016,2000,176000,,Metropolitana de Santiago,7500000,0,0,0,8
45,1189,2022,1500,48120,,Los Lagos,16490000,0,1,0,2
16,240,2015,2400,116700,,Metropolitana de Santiago,10000000,0,1,0,9
20,293,2017,3500,50000,,Metropolitana de Santiago,20690000,0,1,0,7
27,334,2021,,18000,,Metropolitana de Santiago,14490000,0,0,,3
59,720,2021,2200,73000,,Bío Bío,99999999999,1,0,1,3
27,340,2014,2500,200000,,Ñuble,10200000,1,0,,10
11,158,2020,1500,36484,,Metropolitana de Santiago,7490000,0,0,,4
23,5975,2021,2000,56000,,Metropolitana de Santiago,15000000,1,0,0,3
63,762,2014,2500,260000,,Ñuble,12000000,1,0,1,10
11,1806,2018,1400,85000,,Región Metropolitana,6200000,0,0,,6
49,642,2021,1600,68515,,Región Metropolitana,10990000,1,0,,3
33,410,2022,,20000,,Metropolitana de Santiago,8480000,0,0,,2
33,396,2019,,51695,Azul,Araucanía,20490000,1,1,,5
64,792,2019,2000,75000,,Araucanía,19990000,1,1,1,5
48,5884,2021,1600,25000,,VIII Biobío,16250000,0,1,,3
11,154,2014,,160000,,Región Metropolitana,2500000,0,0,,10
57,709,2016,1200,140075,,Metropolitana de Santiago,6300000,0,0,0,8
47,622,2015,2500,209776,,X Los Lagos,8490000,1,0,0,9
60,724,2010,3600,147404,,Metropolitana de Santiago,7950000,0,1,1,14
13,200,2018,1200,76245,Gris,Metropolitana de Santiago,7690000,0,0,0,6
64,776,2019,1600,70000,,Metropolitana de Santiago,9500000,0,0,0,5
31,389,2019,3200,66400,Negro,Metropolitana de Santiago,16970000,0,1,1,5
20,291,2011,1600,160000,,IV Coquimbo,4200000,0,0,,13
27,334,2014,,125000,,IIAntofagasta,11000000,1,0,,10
63,771,2013,4000,156000,,Araucanía,16500000,0,1,,11
20,285,2019,2000,80000,,Metropolitana de Santiago,13000000,0,1,0,5
47,616,2016,,67000,,Valparaíso,9000000,0,0,,8
19,1640,2013,,90000,Blanco,Metropolitana de Santiago,7480000,0,1,,11
59,721,2014,,117300,,Bío Bío,5000000,0,0,,10
10,5882,2022,1500,45000,,OHiggins,-1,0,0,0,2
33,407,2020,1600,100000,,Bío Bío,12700000,0,0,0,4
53,690,2020,,35200,Blanco,Metropolitana de Santiago,42900000,0,1,,4
52,5600,2019,1600,61000,,Metropolitana de Santiago,10290000,0,0,0,5
20,299,2020,,42491,,Metropolitana de Santiago,13090000,0,1,1,4
43,5586,2022,,56705,,Valparaíso,8490000,0,0,,2
48,6170,2021,,20000,,Región Metropolitana,15000000,0,0,,3
20,299,2019,1500,94000,,Maule,12000000,0,1,0,5
11,169,2012,,200000,,VI O'Higgins,8500000,1,0,,12
63,760,2017,,91235,,Metropolitana de Santiago,11190000,0,0,,7
73,5845,2023,,1800,,Bío Bío,10480000,0,0,,1
29,6026,2017,7000,37500,,V Valparaíso,8280000,0,0,,7
65,802,2019,2400,60000,Blanco,Ñuble,19000000,1,1,0,5
27,353,2021,6000,46000,,VIII Biobío,9850000,0,0,,3
19,274,2013,1400,236000,,Metropolitana de Santiago,4200000,0,0,0,11
61,736,2017,,33500,,Valparaíso,7500000,0,0,,7
47,1454,2016,2500,108000,,Bío Bío,11000000,0,0,0,8
31,382,2022,3600,36900,Blanco,Metropolitana de Santiago,38980000,0,1,1,2
27,339,2004,,82893,,Ñuble,8800000,1,0,,20
61,736,2022,1000,29000,,Metropolitana de Santiago,10500000,0,0,0,2
7,5904,2021,1600,99999999999,,Metropolitana de Santiago,11000000,0,0,0,3
20,288,2016,5000,65000,,Antofagasta,22990000,0,0,0,8
60,728,2010,2000,165000,,Metropolitana de Santiago,75000000,0,1,1,14
11,176,2015,2200,139000,,Bío Bío,11500000,1,0,1,9
20,285,2018,2000,67000,,Metropolitana de Santiago,9500000,0,1,0,6
29,1685,2021,,81000,,Bío Bío,8040000,0,0,,3
49,657,3008,,60262,,Metropolitana de Santiago,16990000,0,1,,-984
40,474,2021,2000,20000,,Coquimbo,24990000,0,1,1,3
11,180,2016,1400,56000,,Valparaíso,6950000,0,0,0,8
4,890,2024,1400,1500,Verde,Metropolitana de Santiago,38970000,0,1,0,0
40,470,2011,1600,198000,,Maule,6250000,0,0,0,13
52,833,1998,,233000,,Metropolitana de Santiago,1500000,0,0,,26
61,747,2016,0,105000,,IIAntofagasta,7990000,0,0,,8
63,771,2012,4000,142000,,Metropolitana de Santiago,16500000,0,1,1,12
27,350,2015,1600,73109,,Metropolitana de Santiago,9000000,0,0,0,9
20,293,2020,,31683,,Metropolitana de Santiago,38600000,0,1,1,4
27,353,2020,,74000,,Región Metropolitana,7800000,0,0,,4
43,5587,2019,1400,183,,Región Metropolitana,9500000,0,1,,5
27,353,2007,,196000,,Bío Bío,4000000,0,1,,17
6,122,2018,2000,70000,Gris,Metropolitana de Santiago,18990000,0,1,0,6
112,5590,2021,2800,31500,,Metropolitana de Santiago,16900000,1,0,0,3
50,664,2017,,45500,Gris,Metropolitana de Santiago,38900000,0,1,,7
16,6109,2012,,153000,,Metropolitana de Santiago,22300000,0,1,,12
27,353,2013,1400,80000,,Araucanía,7000000,0,0,0,11
27,334,2010,2000,58778,,XII Magallanes & Antártica,8000000,1,1,,14
20,284,2017,,136000,,VIII Biobío,16900000,1,0,1,7
64,781,2016,,96000,Plata,Metropolitana de Santiago,11600000,0,0,,8
11,176,2021,1500,15,,Región Metropolitana,15000000,0,1,,3
49,810,2014,1200,80200,Gris,Metropolitana de Santiago,6000000,0,0,0,10
56,700,2021,1400,53000,,Metropolitana de Santiago,18500000,0,1,0,3
13,208,2021,1500,65000,Azul,Metropolitana de Santiago,16390000,1,1,0,3
30,5855,2021,2000,24289,Grafito,Maule,39990000,0,1,1,3
49,1360,2015,,152000,,Metropolitana de Santiago,7500000,1,1,,9
11,161,2010,,180000,,IX Araucanía,2850000,0,0,,14
33,5994,2021,1500,56000,,Atacama,14100000,0,1,0,3
11,158,2021,1500,42312,,Metropolitana de Santiago,7390000,0,0,,3
17,5656,2018,2000,60000,,Metropolitana de Santiago,7500000,0,0,,6
27,338,2013,2400,153000,,Valparaíso,10500000,0,0,0,11
61,748,2022,1000,48071,,Región Metropolitana,7990000,0,0,,2
4,890,2022,,34800,Gris,Metropolitana de Santiago,38990000,0,1,,2
40,472,2018,3900,1,,Región Metropolitana,23980000,0,1,0,6
40,474,2023,2000,15,,Metropolitana de Santiago,22000000,0,1,0,1
40,474,2019,,55000,Blanco,Antofagasta,19590000,0,0,,5
11,169,2015,2500,250000,,Ñuble,11100000,1,0,,9
64,5599,2023,1600,6314,Blanco,Valparaíso,13290000,0,1,0,1
61,744,2022,1500,13063,,Metropolitana de Santiago,15700000,0,0,,2
11,908,2012,,175000,,Valparaíso,4200000,0,0,,12
63,762,2023,2400,60,Rojo,Metropolitana de Santiago,24990000,1,0,0,1
19,1640,2019,,63328,,Metropolitana de Santiago,9300000,0,0,0,5
60,723,2022,2000,32500,Grafito,Metropolitana de Santiago,21990000,0,1,1,2
26,329,2020,1500,59100,,Antofagasta,10300000,0,0,0,4
40,470,2016,1600,72000,,Metropolitana de Santiago,10400000,0,1,0,8
45,602,2017,2400,136500,,Región de Los Lagos,11890000,1,0,0,7
17,248,2019,,28190,,Metropolitana de Santiago,6500000,0,0,,5
47,609,2016,2500,73000,,Metropolitana de Santiago,10990000,0,1,0,8
42,5872,2023,,6300,,Metropolitana de Santiago,42900000,0,1,,1
61,750,2022,1400,3350,,Valparaíso,9500000,0,0,0,2
60,723,2016,,168000,,Araucanía,8000000,0,1,,8
27,5588,2017,1400,70000,Blanco,Bío Bío,8490000,0,0,0,7
4,56,2014,1200,140000,,Metropolitana de Santiago,10500000,0,1,0,10
65,800,2018,,61200,,X Los Lagos,12990000,1,1,,6
13,208,2004,,170000,,Valparaíso,3200000,0,0,,20
33,5885,2020,1400,126000,Blanco,Metropolitana de Santiago,7400000,0,0,0,4
33,393,2002,2000,240000,,Metropolitana de Santiago,3100000,0,0,1,22
33,401,2015,1400,139000,,Metropolitana de Santiago,6850000,0,0,0,9
42,519,2009,3000,224000,,Metropolitana de Santiago,7500000,0,1,1,15
49,642,2022,1600,58000,Blanco,Coquimbo,13990000,1,0,0,2
33,410,2022,,52000,,Valparaíso,9290000,0,0,,2
13,201,2020,1500,75800,Blanco,Los Lagos,12990000,1,0,0,4
23,306,2011,2800,188947,,Valparaíso,5000000,1,0,0,13
64,1372,2022,1600,19700,,IX Araucanía,7990000,0,0,,2
33,395,2018,1600,102000,,Metropolitana de Santiago,9000000,0,0,,6
33,410,2018,,73000,,Bío Bío,6400000,0,0,,6
49,650,2019,1500,38630,,Región Metropolitana,19390000,1,1,,5
44,595,2015,1500,32100,,XII Magallanes & Antártica,12000000,0,0,,9
49,657,2019,1600,40000,,IV Coquimbo,17990000,0,1,,5
43,5586,2019,1500,99999999999,,V Valparaíso,8390000,0,1,,5
